作物名称,种植季次,产量,作物编号
黄豆,单季,50977.70031242059,1
黑豆,单季,20422.44103651875,2
红豆,单季,20557.09697923654,3
绿豆,单季,31558.199717221134,4
爬豆,单季,8938.202994098558,5
小麦,单季,183967.40848844618,6
玉米,单季,142803.3760399092,7
谷子,单季,63123.523357696125,8
高粱,单季,27546.740316783907,9
黍子,单季,11478.409268779338,10
荞麦,单季,1309.2310107257294,11
南瓜,单季,30749.31418252041,12
红薯,单季,33062.58535352199,13
莜麦,单季,12741.524544803331,14
大麦,单季,9403.384213019552,15
水稻,单季,19413.49621703026,16
豇豆,第一季,29304.3406317448,17
豇豆,第二季,844.5656467171817,17
刀豆,第一季,22980.054199787646,18
刀豆,第二季,581.4627838687753,18
芸豆,第一季,5486.696804498559,19
芸豆,第二季,801.3120250709597,19
土豆,第一季,27303.98259037478,20
土豆,第二季,564.7422806128344,20
西红柿,第一季,30149.26628386238,21
西红柿,第二季,685.4821158150844,21
茄子,第一季,36741.62556887335,22
茄子,第二季,1835.4712255956322,22
菠菜 ,第二季,746.1869081541698,23
青椒,第一季,1496.2989610334262,24
青椒,第二季,672.4342712267901,24
菜花,第一季,3149.290750676529,25
菜花,第二季,887.5032101267587,25
包菜,第一季,3483.747418629351,26
包菜,第二季,1010.2880699913947,26
油麦菜,第一季,3706.368233387046,27
油麦菜,第二季,1153.0760336436733,27
小青菜,第一季,28606.55400568739,28
小青菜,第二季,871.6684276622965,28
黄瓜,第一季,7389.731184270338,29
黄瓜,第二季,3490.794353498158,29
生菜 ,第二季,1168.2930673279361,30
辣椒,第一季,1014.3924449136963,31
辣椒,第二季,469.22340037243185,31
空心菜,第一季,3131.0746413564657,32
空心菜,第二季,2852.539649773759,32
黄心菜,第一季,1493.9883103686298,33
黄心菜,第二季,1423.2661734397004,33
芹菜,第二季,1459.34323052332,34
大白菜,第二季,130724.01630001851,35
白萝卜,第二季,79702.2706312034,36
红萝卜,第二季,31124.029500711284,37
榆黄菇,第二季,8553.839155060212,38
香菇,第二季,6487.949557687715,39
白灵菇,第二季,17478.677035087898,40
羊肚菌,第二季,4207.796711895629,41
