作物名称,种植季次,产量,作物编号
黄豆,单季,53027.39461845173,1
黑豆,单季,23047.642091573987,2
红豆,单季,23190.33120028863,3
绿豆,单季,31793.735569177756,4
爬豆,单季,10111.18378589476,5
小麦,单季,231867.92233504262,6
玉米,单季,174992.4906100822,7
谷子,单季,70784.28308340948,8
高粱,单季,31526.427164287583,9
黍子,单季,13125.193557332104,10
荞麦,单季,1441.3984316295507,11
南瓜,单季,36769.19941658159,12
红薯,单季,35086.83294521469,13
莜麦,单季,13499.73402458755,14
大麦,单季,10204.04340272863,15
水稻,单季,20193.889342123144,16
豇豆,第一季,38085.22149468407,17
豇豆,第二季,991.309293003508,17
刀豆,第一季,26906.33289269679,18
刀豆,第二季,672.3288631348256,18
芸豆,第一季,6588.208845301476,19
芸豆,第二季,940.0288251380181,19
土豆,第一季,29615.258397921283,20
土豆,第二季,691.0410340879287,20
西红柿,第一季,34477.774843994564,21
西红柿,第二季,779.1353287147973,21
茄子,第一季,45619.04964807872,22
茄子,第二季,2208.1366455787097,22
菠菜 ,第二季,911.1278324068622,23
青椒,第一季,1728.794016889614,24
青椒,第二季,831.7846403040234,24
菜花,第一季,3777.181277262114,25
菜花,第二季,1063.9958031783667,25
包菜,第一季,3957.0024535208436,26
包菜,第二季,1241.358723325468,26
油麦菜,第一季,4581.573711238511,27
油麦菜,第二季,1347.4255958768906,27
小青菜,第一季,34022.54478594064,28
小青菜,第二季,1086.7329939122674,28
黄瓜,第一季,8770.449310288097,29
黄瓜,第二季,4043.489833574435,29
生菜 ,第二季,1350.0207921506553,30
辣椒,第一季,1243.2596233845186,31
辣椒,第二季,533.6536276382578,31
空心菜,第一季,3539.467217707066,32
空心菜,第二季,3157.5648414676357,32
黄心菜,第一季,1773.1784107614267,33
黄心菜,第二季,1587.6318071115613,33
芹菜,第二季,1753.6876794274274,34
大白菜,第二季,142390.39917170376,35
白萝卜,第二季,102600.29488981096,36
红萝卜,第二季,37715.72953558794,37
榆黄菇,第二季,9266.241818510849,38
香菇,第二季,7219.775402546104,39
白灵菇,第二季,17189.306930346665,40
羊肚菌,第二季,4071.475338865161,41
