Unnamed: 0,序号,作物编号,作物名称,地块类型,种植季次,亩产量/斤,种植成本/(元/亩),销售单价/(元/斤),确切销售单价/(元/斤),亩利润/(元/亩)
0,1,1,黄豆,平旱地,单季,386.43019260502433,441.0,2.50-4.00,3.25,900.0
1,2,2,黑豆,平旱地,单季,485.57142808133455,441.0,6.50-8.50,7.5,3350.0
2,3,3,红豆,平旱地,单季,379.3595839997244,385.875,7.50-9.00,8.25,2950.0
3,4,4,绿豆,平旱地,单季,334.6786680382674,385.875,6.00-8.00,7.0,2100.0
4,5,5,爬豆,平旱地,单季,447.4233165298552,385.875,6.00-7.50,6.75,2451.25
5,6,6,小麦,平旱地,单季,844.6315283327896,496.125,3.00-4.00,3.5,2350.0
6,7,7,玉米,平旱地,单季,996.9044760301935,551.25,2.50-3.50,3.0,2500.0
7,8,8,谷子,平旱地,单季,380.5631987566631,396.90000000000003,6.00-7.50,6.75,2340.0
8,9,9,高粱,平旱地,单季,632.9913827319633,441.0,5.50-6.50,6.0,3380.0
9,10,10,黍子,平旱地,单季,550.3845895806791,396.90000000000003,6.50-8.50,7.5,3577.5
10,11,11,荞麦,平旱地,单季,114.85435885941637,385.875,30.00-50.00,40.0,4050.0
11,12,12,南瓜,平旱地,单季,2949.166572586274,1102.5,1.00-2.00,1.5,3500.0
12,13,13,红薯,平旱地,单季,2029.2710072905768,2205.0,2.50-4.00,3.25,5150.0
13,14,14,莜麦,平旱地,单季,424.2253659202564,441.0,5.00-6.00,5.5,1910.0
14,15,15,大麦,平旱地,单季,522.4011679325754,385.875,3.00-4.00,3.5,1487.5
15,16,1,黄豆,梯田,单季,382.5058781979041,441.0,2.50-4.00,3.25,835.0
16,17,2,黑豆,梯田,单季,493.67221751013085,441.0,6.50-8.50,7.5,3162.5
17,18,3,红豆,梯田,单季,393.7740640436311,385.875,7.50-9.00,8.25,2785.0
18,19,4,绿豆,梯田,单季,337.4659376786144,385.875,6.00-8.00,7.0,1960.0
19,20,5,爬豆,梯田,单季,396.06356564384026,385.875,6.00-7.50,6.75,2316.25
20,21,6,小麦,梯田,单季,731.437123726298,496.125,3.00-4.00,3.5,2210.0
21,22,7,玉米,梯田,单季,1087.635093809687,551.25,2.50-3.50,3.0,2350.0
22,23,8,谷子,梯田,单季,401.64017476940546,396.90000000000003,6.00-7.50,6.75,2205.0
23,24,9,高粱,梯田,单季,595.8125828372249,441.0,5.50-6.50,6.0,3200.0
24,25,10,黍子,梯田,单季,478.42794912705506,396.90000000000003,6.50-8.50,7.5,3390.0
25,26,11,荞麦,梯田,单季,104.34210271725856,385.875,30.00-50.00,40.0,3850.0
26,27,12,南瓜,梯田,单季,2725.058825638441,1102.5,1.00-2.00,1.5,3275.0
27,28,13,红薯,梯田,单季,2106.3186125043767,2205.0,2.50-4.00,3.25,4825.0
28,29,14,莜麦,梯田,单季,370.9040368748567,441.0,5.00-6.00,5.5,1800.0
29,30,15,大麦,梯田,单季,491.77860089635186,385.875,3.00-4.00,3.5,1400.0
30,31,1,黄豆,山坡地,单季,361.558549337234,441.0,2.50-4.00,3.25,770.0
31,32,2,黑豆,山坡地,单季,428.28873247600046,441.0,6.50-8.50,7.5,2975.0
32,33,3,红豆,山坡地,单季,354.5232039962832,385.875,7.50-9.00,8.25,2620.0
33,34,4,绿豆,山坡地,单季,313.98442215468106,385.875,6.00-8.00,7.0,1855.0
34,35,5,爬豆,山坡地,单季,359.48301900116314,385.875,6.00-7.50,6.75,2181.25
35,36,6,小麦,山坡地,单季,742.6379494197982,496.125,3.00-4.00,3.5,2070.0
36,37,7,玉米,山坡地,单季,889.8093926125863,551.25,2.50-3.50,3.0,2200.0
37,38,8,谷子,山坡地,单季,382.82155338921183,396.90000000000003,6.00-7.50,6.75,2070.0
38,39,9,高粱,山坡地,单季,531.4714488588613,441.0,5.50-6.50,6.0,3020.0
39,40,10,黍子,山坡地,单季,485.4309257219438,396.90000000000003,6.50-8.50,7.5,3202.5
40,41,11,荞麦,山坡地,单季,100.93494870831574,385.875,30.00-50.00,40.0,3650.0
41,42,12,南瓜,山坡地,单季,2826.0798222495087,1102.5,1.00-2.00,1.5,3050.0
42,43,13,红薯,山坡地,单季,1937.8344199802361,2205.0,2.50-4.00,3.25,4500.0
43,44,14,莜麦,山坡地,单季,374.2158529386903,441.0,5.00-6.00,5.5,1690.0
44,45,15,大麦,山坡地,单季,472.09298129596925,385.875,3.00-4.00,3.5,1312.5
45,46,16,水稻,水浇地,单季,502.8720745054169,749.7,6.00-8.00,7.0,2820.0
46,47,17,豇豆,水浇地,第一季,3152.304499376247,2205.0,7.00-9.00,8.82,22000.0
47,48,18,刀豆,水浇地,第一季,1973.1991269608045,1102.5,5.50-8.00,7.4418750000000005,12500.0
48,49,19,芸豆,水浇地,第一季,2830.124108249328,2205.0,5.00-8.00,7.166250000000001,17500.0
49,50,20,土豆,水浇地,第一季,2150.3008246708628,2205.0,3.00-4.50,4.134375,5500.0
50,51,21,西红柿,水浇地,第一季,2389.2448144748023,2205.0,5.00-7.50,6.890625,13000.0
51,52,22,茄子,水浇地,第一季,6661.615729805165,2205.0,5.00-6.00,6.063750000000001,33200.0
52,53,23,菠菜 ,水浇地,第一季,2617.3814257964336,2535.75,4.80-6.70,6.339375,13225.0
53,54,24,青椒,水浇地,第一季,2232.4874260363677,1764.0,4.00-6.50,5.788125000000001,11000.0
54,55,25,菜花,水浇地,第一季,3250.0263643109224,2646.0,5.00-6.00,6.063750000000001,15750.0
55,56,26,包菜,水浇地,第一季,3721.767014666475,3197.25,5.50-7.50,7.166250000000001,21150.0
56,57,27,油麦菜,水浇地,第一季,4068.296090860499,1764.0,4.00-6.00,5.5125,18900.0
57,58,28,小青菜,水浇地,第一季,3320.6962130692123,1764.0,5.00-6.50,6.339375,16800.0
58,59,29,黄瓜,水浇地,第一季,12198.925888700845,3197.25,6.00-8.00,7.7175,81100.0
59,60,30,生菜 ,水浇地,第一季,3994.447362485129,1764.0,4.50-6.00,5.788125000000001,19925.0
60,61,31,辣椒,水浇地,第一季,1622.7754169742361,1102.5,6.00-8.50,7.993125000000002,10600.0
61,62,32,空心菜,水浇地,第一季,9434.061760457631,4520.25,3.00-6.00,4.961250000000001,40900.0
62,63,33,黄心菜,水浇地,第一季,5381.686295414224,2205.0,4.00-5.00,4.961250000000001,20500.0
63,64,34,芹菜,水浇地,第一季,5413.514077216979,992.25,3.20-4.80,4.41,21100.0
