Unnamed: 0,序号,作物编号,作物名称,地块类型,种植季次,亩产量/斤,种植成本/(元/亩),销售单价/(元/斤),确切销售单价/(元/斤),亩利润/(元/亩)
0,1,1,黄豆,平旱地,单季,406.58193403043816,536.03825625,2.50-4.00,3.25,900.0
1,2,2,黑豆,平旱地,单季,478.4722161011489,536.03825625,6.50-8.50,7.5,3350.0
2,3,3,红豆,平旱地,单季,404.70709392099593,469.03347421875014,7.50-9.00,8.25,2950.0
3,4,4,绿豆,平旱地,单季,331.4988374655407,469.03347421875014,6.00-8.00,7.0,2100.0
4,5,5,爬豆,平旱地,单季,408.204798505138,469.03347421875014,6.00-7.50,6.75,2451.25
5,6,6,小麦,平旱地,单季,876.7792332510843,603.0430382812501,3.00-4.00,3.5,2350.0
6,7,7,玉米,平旱地,单季,1031.6275889616431,670.0478203125002,2.50-3.50,3.0,2500.0
7,8,8,谷子,平旱地,单季,322.64919574472793,482.434430625,6.00-7.50,6.75,2340.0
8,9,9,高粱,平旱地,单季,633.5324575025012,536.03825625,5.50-6.50,6.0,3380.0
9,10,10,黍子,平旱地,单季,536.3772783268208,482.434430625,6.50-8.50,7.5,3577.5
10,11,11,荞麦,平旱地,单季,104.90301354774314,469.03347421875014,30.00-50.00,40.0,4050.0
11,12,12,南瓜,平旱地,单季,3086.308908205996,1340.0956406250002,1.00-2.00,1.5,3500.0
12,13,13,红薯,平旱地,单季,2085.0166749879136,2680.191281250001,2.50-4.00,3.25,5150.0
13,14,14,莜麦,平旱地,单季,428.98610255680154,536.03825625,5.00-6.00,5.5,1910.0
14,15,15,大麦,平旱地,单季,469.01704570715,469.03347421875014,3.00-4.00,3.5,1487.5
15,16,1,黄豆,梯田,单季,390.9777092941545,536.03825625,2.50-4.00,3.25,835.0
16,17,2,黑豆,梯田,单季,494.3929791543401,536.03825625,6.50-8.50,7.5,3162.5
17,18,3,红豆,梯田,单季,387.3514014523448,469.03347421875014,7.50-9.00,8.25,2785.0
18,19,4,绿豆,梯田,单季,374.45088608151,469.03347421875014,6.00-8.00,7.0,1960.0
19,20,5,爬豆,梯田,单季,345.1805999855684,469.03347421875014,6.00-7.50,6.75,2316.25
20,21,6,小麦,梯田,单季,692.5351286121428,603.0430382812501,3.00-4.00,3.5,2210.0
