作物名称,种植季次,产量,作物编号
黄豆,单季,53037.938917292406,1
黑豆,单季,21021.315861971507,2
红豆,单季,21736.66117458731,3
绿豆,单季,32428.681928060912,4
爬豆,单季,9381.408484714493,5
小麦,单季,177490.89812769394,6
玉米,单季,136736.21745082352,7
谷子,单季,66965.9662256994,8
高粱,单季,28587.593957533936,9
黍子,单季,11913.420453769906,10
荞麦,单季,1407.501445241401,11
南瓜,单季,32785.02823231654,12
红薯,单季,35224.11056788612,13
莜麦,单季,13185.956038983937,14
大麦,单季,9617.313514095527,15
水稻,单季,20099.30989078776,16
豇豆,第一季,33188.81533935588,17
豇豆,第二季,908.0403686796114,17
刀豆,第一季,24852.7176716153,18
刀豆,第二季,608.9230583796023,18
芸豆,第一季,5923.40021415291,19
芸豆,第二季,865.7818596815362,19
土豆,第一季,28660.117176799802,20
土豆,第二季,602.2064117036616,20
西红柿,第一季,31817.24064513799,21
西红柿,第二季,752.8287496978561,21
茄子,第一季,39597.36046083911,22
茄子,第二季,1960.0799996292067,22
菠菜 ,第二季,799.7277869759149,23
青椒,第一季,1663.7809446416702,24
青椒,第二季,714.3332505021705,24
菜花,第一季,3390.4282527128953,25
菜花,第二季,974.5127168817203,25
包菜,第一季,3655.9099543034395,26
包菜,第二季,1110.962545823305,26
油麦菜,第一季,4008.496151180095,27
油麦菜,第二季,1242.8190121410037,27
小青菜,第一季,30868.524721084985,28
小青菜,第二季,980.3160180624811,28
黄瓜,第一季,8237.015851297307,29
黄瓜,第二季,3774.5686530635116,29
生菜 ,第二季,1249.975483358692,30
辣椒,第一季,1120.9386273381529,31
辣椒,第二季,502.81802562372644,31
空心菜,第一季,3379.71630732297,32
空心菜,第二季,3153.3291158859133,32
黄心菜,第一季,1642.9656673030709,33
黄心菜,第二季,1501.559734134447,33
芹菜,第二季,1600.2176349056974,34
大白菜,第二季,139554.78493685904,35
白萝卜,第二季,91633.61870912343,36
红萝卜,第二季,33656.340620413,37
榆黄菇,第二季,8772.43593608231,38
香菇,第二季,6768.181531740329,39
白灵菇,第二季,18005.22863828884,40
羊肚菌,第二季,4156.614282402304,41
