地块名,黄豆,黑豆,红豆,绿豆,爬豆,小麦,玉米,谷子,高粱,黍子,荞麦,南瓜,红薯,莜麦,大麦,水稻,豇豆,刀豆,芸豆,土豆,西红柿,茄子,菠菜 ,青椒,菜花,包菜,油麦菜,小青菜,黄瓜,生菜 ,辣椒,空心菜,黄心菜,芹菜,大白菜,白萝卜,红萝卜,榆黄菇,香菇,白灵菇,羊肚菌,季度,地块类型,地块面积/亩,没有种植豆类年数
A1,406.58193403043816,478.4722161011489,404.70709392099593,331.4988374655407,408.204798505138,876.7792332510843,1031.6275889616431,322.64919574472793,633.5324575025012,536.3772783268208,104.90301354774314,3086.308908205996,2085.0166749879136,428.9861025568016,469.01704570715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,平旱地,80.0,0
A2,406.58193403043816,478.4722161011489,404.70709392099593,331.4988374655407,408.204798505138,876.7792332510843,1031.6275889616431,322.64919574472793,633.5324575025012,536.3772783268208,104.90301354774314,3086.308908205996,2085.0166749879136,428.9861025568016,469.01704570715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,平旱地,55.0,0
A3,406.58193403043816,478.4722161011489,404.70709392099593,331.4988374655407,408.204798505138,876.7792332510843,1031.6275889616431,322.64919574472793,633.5324575025012,536.3772783268208,104.90301354774314,3086.308908205996,2085.0166749879136,428.9861025568016,469.01704570715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,平旱地,35.0,0
A4,406.58193403043816,478.4722161011489,404.70709392099593,331.4988374655407,408.204798505138,876.7792332510843,1031.6275889616431,322.64919574472793,633.5324575025012,536.3772783268208,104.90301354774314,3086.308908205996,2085.0166749879136,428.9861025568016,469.01704570715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,平旱地,72.0,0
A5,406.58193403043816,478.4722161011489,404.70709392099593,331.4988374655407,408.204798505138,876.7792332510843,1031.6275889616431,322.64919574472793,633.5324575025012,536.3772783268208,104.90301354774314,3086.308908205996,2085.0166749879136,428.9861025568016,469.01704570715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,平旱地,68.0,0
A6,406.58193403043816,478.4722161011489,404.70709392099593,331.4988374655407,408.204798505138,876.7792332510843,1031.6275889616431,322.64919574472793,633.5324575025012,536.3772783268208,104.90301354774314,3086.308908205996,2085.0166749879136,428.9861025568016,469.01704570715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,平旱地,55.0,0
B1,390.9777092941545,494.39297915434014,387.3514014523448,374.45088608151,345.1805999855684,692.5351286121428,918.2257856807392,377.9326926976039,545.2955085896982,536.3378724963424,93.01698296868109,2715.7785679158096,1930.4444126551487,356.76210393758737,420.913258143692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,60.0,0
B2,390.9777092941545,494.39297915434014,387.3514014523448,374.45088608151,345.1805999855684,692.5351286121428,918.2257856807392,377.9326926976039,545.2955085896982,536.3378724963424,93.01698296868109,2715.7785679158096,1930.4444126551487,356.76210393758737,420.913258143692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,46.0,0
B3,390.9777092941545,494.39297915434014,387.3514014523448,374.45088608151,345.1805999855684,692.5351286121428,918.2257856807392,377.9326926976039,545.2955085896982,536.3378724963424,93.01698296868109,2715.7785679158096,1930.4444126551487,356.76210393758737,420.913258143692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,40.0,0
B4,390.9777092941545,494.39297915434014,387.3514014523448,374.45088608151,345.1805999855684,692.5351286121428,918.2257856807392,377.9326926976039,545.2955085896982,536.3378724963424,93.01698296868109,2715.7785679158096,1930.4444126551487,356.76210393758737,420.913258143692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,第一季,梯田,28.0,0
