Unnamed: 0,序号,作物编号,作物名称,地块类型,种植季次,亩产量/斤,种植成本/(元/亩),销售单价/(元/斤),确切销售单价/(元/斤),亩利润/(元/亩)
0,1,1,黄豆,平旱地,单季,400.0,400.0,2.50-4.00,3.25,900.0
1,2,2,黑豆,平旱地,单季,500.0,400.0,6.50-8.50,7.5,3350.0
2,3,3,红豆,平旱地,单季,400.0,350.0,7.50-9.00,8.25,2950.0
3,4,4,绿豆,平旱地,单季,350.0,350.0,6.00-8.00,7.0,2100.0
4,5,5,爬豆,平旱地,单季,415.0,350.0,6.00-7.50,6.75,2451.25
5,6,6,小麦,平旱地,单季,800.0,450.0,3.00-4.00,3.5,2350.0
6,7,7,玉米,平旱地,单季,1000.0,500.0,2.50-3.50,3.0,2500.0
7,8,8,谷子,平旱地,单季,400.0,360.0,6.00-7.50,6.75,2340.0
8,9,9,高粱,平旱地,单季,630.0,400.0,5.50-6.50,6.0,3380.0
9,10,10,黍子,平旱地,单季,525.0,360.0,6.50-8.50,7.5,3577.5
10,11,11,荞麦,平旱地,单季,110.0,350.0,30.00-50.00,40.0,4050.0
11,12,12,南瓜,平旱地,单季,3000.0,1000.0,1.00-2.00,1.5,3500.0
12,13,13,红薯,平旱地,单季,2200.0,2000.0,2.50-4.00,3.25,5150.0
13,14,14,莜麦,平旱地,单季,420.0,400.0,5.00-6.00,5.5,1910.0
14,15,15,大麦,平旱地,单季,525.0,350.0,3.00-4.00,3.5,1487.5
15,16,1,黄豆,梯田,单季,380.0,400.0,2.50-4.00,3.25,835.0
16,17,2,黑豆,梯田,单季,475.0,400.0,6.50-8.50,7.5,3162.5
17,18,3,红豆,梯田,单季,380.0,350.0,7.50-9.00,8.25,2785.0
18,19,4,绿豆,梯田,单季,330.0,350.0,6.00-8.00,7.0,1960.0
19,20,5,爬豆,梯田,单季,395.0,350.0,6.00-7.50,6.75,2316.25
20,21,6,小麦,梯田,单季,760.0,450.0,3.00-4.00,3.5,2210.0
21,22,7,玉米,梯田,单季,950.0,500.0,2.50-3.50,3.0,2350.0
22,23,8,谷子,梯田,单季,380.0,360.0,6.00-7.50,6.75,2205.0
23,24,9,高粱,梯田,单季,600.0,400.0,5.50-6.50,6.0,3200.0
24,25,10,黍子,梯田,单季,500.0,360.0,6.50-8.50,7.5,3390.0
25,26,11,荞麦,梯田,单季,105.0,350.0,30.00-50.00,40.0,3850.0
26,27,12,南瓜,梯田,单季,2850.0,1000.0,1.00-2.00,1.5,3275.0
27,28,13,红薯,梯田,单季,2100.0,2000.0,2.50-4.00,3.25,4825.0
28,29,14,莜麦,梯田,单季,400.0,400.0,5.00-6.00,5.5,1800.0
29,30,15,大麦,梯田,单季,500.0,350.0,3.00-4.00,3.5,1400.0
30,31,1,黄豆,山坡地,单季,360.0,400.0,2.50-4.00,3.25,770.0
31,32,2,黑豆,山坡地,单季,450.0,400.0,6.50-8.50,7.5,2975.0
32,33,3,红豆,山坡地,单季,360.0,350.0,7.50-9.00,8.25,2620.0
33,34,4,绿豆,山坡地,单季,315.0,350.0,6.00-8.00,7.0,1855.0
34,35,5,爬豆,山坡地,单季,375.0,350.0,6.00-7.50,6.75,2181.25
35,36,6,小麦,山坡地,单季,720.0,450.0,3.00-4.00,3.5,2070.0
36,37,7,玉米,山坡地,单季,900.0,500.0,2.50-3.50,3.0,2200.0
37,38,8,谷子,山坡地,单季,360.0,360.0,6.00-7.50,6.75,2070.0
38,39,9,高粱,山坡地,单季,570.0,400.0,5.50-6.50,6.0,3020.0
39,40,10,黍子,山坡地,单季,475.0,360.0,6.50-8.50,7.5,3202.5
40,41,11,荞麦,山坡地,单季,100.0,350.0,30.00-50.00,40.0,3650.0
41,42,12,南瓜,山坡地,单季,2700.0,1000.0,1.00-2.00,1.5,3050.0
42,43,13,红薯,山坡地,单季,2000.0,2000.0,2.50-4.00,3.25,4500.0
43,44,14,莜麦,山坡地,单季,380.0,400.0,5.00-6.00,5.5,1690.0
44,45,15,大麦,山坡地,单季,475.0,350.0,3.00-4.00,3.5,1312.5
45,46,16,水稻,水浇地,单季,500.0,680.0,6.00-8.00,7.0,2820.0
46,47,17,豇豆,水浇地,第一季,3000.0,2000.0,7.00-9.00,8.0,22000.0
47,48,18,刀豆,水浇地,第一季,2000.0,1000.0,5.50-8.00,6.75,12500.0
48,49,19,芸豆,水浇地,第一季,3000.0,2000.0,5.00-8.00,6.5,17500.0
49,50,20,土豆,水浇地,第一季,2000.0,2000.0,3.00-4.50,3.75,5500.0
50,51,21,西红柿,水浇地,第一季,2400.0,2000.0,5.00-7.50,6.25,13000.0
51,52,22,茄子,水浇地,第一季,6400.0,2000.0,5.00-6.00,5.5,33200.0
52,53,23,菠菜 ,水浇地,第一季,2700.0,2300.0,4.80-6.70,5.75,13225.0
53,54,24,青椒,水浇地,第一季,2400.0,1600.0,4.00-6.50,5.25,11000.0
54,55,25,菜花,水浇地,第一季,3300.0,2400.0,5.00-6.00,5.5,15750.0
55,56,26,包菜,水浇地,第一季,3700.0,2900.0,5.50-7.50,6.5,21150.0
56,57,27,油麦菜,水浇地,第一季,4100.0,1600.0,4.00-6.00,5.0,18900.0
57,58,28,小青菜,水浇地,第一季,3200.0,1600.0,5.00-6.50,5.75,16800.0
58,59,29,黄瓜,水浇地,第一季,12000.0,2900.0,6.00-8.00,7.0,81100.0
59,60,30,生菜 ,水浇地,第一季,4100.0,1600.0,4.50-6.00,5.25,19925.0
60,61,31,辣椒,水浇地,第一季,1600.0,1000.0,6.00-8.50,7.25,10600.0
61,62,32,空心菜,水浇地,第一季,10000.0,4100.0,3.00-6.00,4.5,40900.0
62,63,33,黄心菜,水浇地,第一季,5000.0,2000.0,4.00-5.00,4.5,20500.0
