Unnamed: 0,序号,作物编号,作物名称,地块类型,种植季次,亩产量/斤,种植成本/(元/亩),销售单价/(元/斤),确切销售单价/(元/斤),亩利润/(元/亩)
0,1,1,黄豆,平旱地,单季,421.6248679403828,562.8401690625001,2.50-4.00,3.25,900.0
1,2,2,黑豆,平旱地,单季,466.5836652270863,562.8401690625001,6.50-8.50,7.5,3350.0
2,3,3,红豆,平旱地,单季,389.44480119102246,492.4851479296877,7.50-9.00,8.25,2950.0
3,4,4,绿豆,平旱地,单季,331.046633214416,492.4851479296877,6.00-8.00,7.0,2100.0
4,5,5,爬豆,平旱地,单季,387.7422215697416,492.4851479296877,6.00-7.50,6.75,2451.25
5,6,6,小麦,平旱地,单季,853.6163151400763,633.1951901953126,3.00-4.00,3.5,2350.0
6,7,7,玉米,平旱地,单季,1034.522670269688,703.5502113281252,2.50-3.50,3.0,2500.0
7,8,8,谷子,平旱地,单季,306.6618215795665,506.55615215625005,6.00-7.50,6.75,2340.0
8,9,9,高粱,平旱地,单季,611.3978305507421,562.8401690625001,5.50-6.50,6.0,3380.0
9,10,10,黍子,平旱地,单季,549.9862123349553,506.55615215625005,6.50-8.50,7.5,3577.5
10,11,11,荞麦,平旱地,单季,105.59774094334595,492.4851479296877,30.00-50.00,40.0,4050.0
11,12,12,南瓜,平旱地,单季,3138.9090508310783,1407.1004226562502,1.00-2.00,1.5,3500.0
12,13,13,红薯,平旱地,单季,2180.1666851288874,2814.200845312501,2.50-4.00,3.25,5150.0
13,14,14,莜麦,平旱地,单季,442.1212576215698,562.8401690625001,5.00-6.00,5.5,1910.0
14,15,15,大麦,平旱地,单季,461.0593000382955,492.4851479296877,3.00-4.00,3.5,1487.5
15,16,1,黄豆,梯田,单季,386.23539926559715,562.8401690625001,2.50-4.00,3.25,835.0
16,17,2,黑豆,梯田,单季,467.55668270455936,562.8401690625001,6.50-8.50,7.5,3162.5
17,18,3,红豆,梯田,单季,394.6033456189476,492.4851479296877,7.50-9.00,8.25,2785.0
18,19,4,绿豆,梯田,单季,376.3884134417953,492.4851479296877,6.00-8.00,7.0,1960.0
19,20,5,爬豆,梯田,单季,349.5776160451841,492.4851479296877,6.00-7.50,6.75,2316.25
20,21,6,小麦,梯田,单季,689.4870005428711,633.1951901953126,3.00-4.00,3.5,2210.0
21,22,7,玉米,梯田,单季,930.3562280708168,703.5502113281252,2.50-3.50,3.0,2350.0
22,23,8,谷子,梯田,单季,385.7119560728522,506.55615215625005,6.00-7.50,6.75,2205.0
23,24,9,高粱,梯田,单季,521.7241499122633,562.8401690625001,5.50-6.50,6.0,3200.0
24,25,10,黍子,梯田,单季,525.8576200194794,506.55615215625005,6.50-8.50,7.5,3390.0
25,26,11,荞麦,梯田,单季,95.35928827086062,492.4851479296877,30.00-50.00,40.0,3850.0
26,27,12,南瓜,梯田,单季,2792.4163643152237,1407.1004226562502,1.00-2.00,1.5,3275.0
27,28,13,红薯,梯田,单季,2017.905686175132,2814.200845312501,2.50-4.00,3.25,4825.0
28,29,14,莜麦,梯田,单季,345.78542487017677,562.8401690625001,5.00-6.00,5.5,1800.0
29,30,15,大麦,梯田,单季,397.9783467443746,492.4851479296877,3.00-4.00,3.5,1400.0
30,31,1,黄豆,山坡地,单季,338.9923525605888,562.8401690625001,2.50-4.00,3.25,770.0
