作物名称,种植季次,产量,作物编号
黄豆,单季,43812.1259209875,1
黑豆,单季,17910.94858141999,2
红豆,单季,18161.005067396814,3
绿豆,单季,27656.045065715956,4
爬豆,单季,8360.184110081242,5
小麦,单季,203970.08226627554,6
玉米,单季,156033.92358484073,7
谷子,单季,54388.564898007855,8
高粱,单季,24468.83550075152,9
黍子,单季,10078.015534101798,10
荞麦,单季,1142.6570891287718,11
南瓜,单季,26297.323685637613,12
红薯,单季,30878.645963249008,13
莜麦,单季,11737.469380315011,14
大麦,单季,8239.492667519953,15
水稻,单季,17390.21054474697,16
豇豆,第一季,23803.480799886867,17
豇豆,第二季,627.5368147344692,17
刀豆,第一季,17375.95330177462,18
刀豆,第二季,435.8277145823022,18
芸豆,第一季,4305.443133369091,19
芸豆,第二季,607.2171007602932,19
土豆,第一季,20822.836389724624,20
土豆,第二季,446.860416229574,20
西红柿,第一季,22899.606613250216,21
西红柿,第二季,551.9871143845363,21
茄子,第一季,27912.73430557576,22
茄子,第二季,1419.8747871484888,22
菠菜 ,第二季,580.2761367835919,23
青椒,第一季,1083.0314229161115,24
青椒,第二季,531.8194544405967,24
菜花,第一季,2606.423220737524,25
菜花,第二季,664.8205021098725,25
包菜,第一季,2710.559185014134,26
包菜,第二季,767.4331120904624,26
油麦菜,第一季,2845.935940564607,27
油麦菜,第二季,893.0004900843086,27
小青菜,第一季,22164.05497936129,28
小青菜,第二季,704.367845911805,28
黄瓜,第一季,5803.248916072126,29
黄瓜,第二季,2699.089518739124,29
生菜 ,第二季,897.6600553356856,30
辣椒,第一季,805.1812269433923,31
辣椒,第二季,356.58971041411905,31
空心菜,第一季,2532.953082962739,32
空心菜,第二季,2230.2475392433967,32
黄心菜,第一季,1185.710228516097,33
黄心菜,第二季,1046.4039431371382,33
芹菜,第二季,1133.1765640978856,34
大白菜,第二季,102819.7697002439,35
白萝卜,第二季,63351.52508856135,36
红萝卜,第二季,24341.42895403627,37
榆黄菇,第二季,7633.139953556235,38
香菇,第二季,5787.340066079675,39
白灵菇,第二季,16463.667554760683,40
羊肚菌,第二季,4040.143339968047,41
