作物名称,种植季次,产量,作物编号
黄豆,单季,45254.58234700493,1
黑豆,单季,18814.267686285624,2
红豆,单季,18598.245077511343,3
绿豆,单季,29457.701596422256,4
爬豆,单季,8637.613005025112,5
小麦,单季,194337.96206657874,6
玉米,单季,151670.52249396197,7
谷子,单季,56134.87340389409,8
高粱,单季,25403.05514055609,9
黍子,单季,10716.827371184096,10
荞麦,单季,1188.0776121778297,11
南瓜,单季,27442.097864802294,12
红薯,单季,31479.47808229811,13
莜麦,单季,11960.235297865162,14
大麦,单季,8800.133945874939,15
水稻,单季,18118.737302787293,16
豇豆,第一季,25336.371707006303,17
豇豆,第二季,692.55399191116,17
刀豆,第一季,18737.707170383794,18
刀豆,第二季,477.0226176093904,18
芸豆,第一季,4677.421063709904,19
芸豆,第二季,689.9577858756803,19
土豆,第一季,22726.44229661983,20
土豆,第二季,481.9010360395431,20
西红柿,第一季,25248.728312069383,21
西红柿,第二季,580.4813254179205,21
茄子,第一季,30418.77253355963,22
茄子,第二季,1522.3632560322928,22
菠菜 ,第二季,628.5698208284264,23
青椒,第一季,1192.7936647028632,24
青椒,第二季,584.1607724581845,24
菜花,第一季,2751.003820769753,25
菜花,第二季,730.870749385249,25
包菜,第一季,2891.8935204415266,26
包菜,第二季,838.7979082557632,26
油麦菜,第一季,3108.3140682548083,27
油麦菜,第二季,973.1136250535944,27
小青菜,第一季,24183.034632902287,28
小青菜,第二季,748.979876687078,28
黄瓜,第一季,6235.211901190324,29
黄瓜,第二季,2894.9690924840784,29
生菜 ,第二季,971.0606572484191,30
辣椒,第一季,865.454486372974,31
辣椒,第二季,396.4841503844118,31
空心菜,第一季,2721.178935820468,32
空心菜,第二季,2381.4534927320947,32
黄心菜,第一季,1292.7252338423857,33
黄心菜,第二季,1129.0457944229024,33
芹菜,第二季,1241.003929341927,34
大白菜,第二季,113350.30132327268,35
白萝卜,第二季,69050.29052415412,36
红萝卜,第二季,25979.201897612365,37
榆黄菇,第二季,7958.963948001067,38
香菇,第二季,6086.396180178118,39
白灵菇,第二季,17474.82472772639,40
羊肚菌,第二季,4112.9786713862195,41
