作物名称,种植季次,产量,作物编号
黄豆,单季,55470.790708058936,1
黑豆,单季,22183.698590925917,2
红豆,单季,23375.704299580757,3
绿豆,单季,32997.74362508687,4
爬豆,单季,10104.337763443256,5
小麦,单季,199468.65263314373,6
玉米,单季,152894.5755410035,7
谷子,单季,68968.41582325449,8
高粱,单季,30656.545070505526,9
黍子,单季,12697.315209108652,10
荞麦,单季,1474.7069098928912,11
南瓜,单季,35387.35745527201,12
红薯,单季,35047.63546972342,13
莜麦,单季,13837.035478229423,14
大麦,单季,10261.569348082137,15
水稻,单季,20865.086670067307,16
豇豆,第一季,37663.47359672884,17
豇豆,第二季,979.9639206309093,17
刀豆,第一季,27049.09653085633,18
刀豆,第二季,656.0618517779718,18
芸豆,第一季,6460.1532936904905,19
芸豆,第二季,970.6014333726325,19
土豆,第一季,29498.45455070567,20
土豆,第二季,672.7727209449007,20
西红柿,第一季,34591.51332479276,21
西红柿,第二季,825.8455661577364,21
茄子,第一季,45076.28018919318,22
茄子,第二季,2161.8079924854374,22
菠菜 ,第二季,889.6233649023229,23
青椒,第一季,1744.0798034939198,24
青椒,第二季,803.9326501566409,24
菜花,第一季,3619.1731656433326,25
菜花,第二季,1042.1718676516766,25
包菜,第一季,4062.5910038243046,26
包菜,第二季,1231.5423888819778,26
油麦菜,第一季,4594.843538230272,27
油麦菜,第二季,1352.9166859996335,27
小青菜,第一季,33814.366985893124,28
小青菜,第二季,1064.4322957158186,28
黄瓜,第一季,8869.674409423324,29
黄瓜,第二季,3916.6158051480825,29
生菜 ,第二季,1366.869764670273,30
辣椒,第一季,1228.8353195622549,31
辣椒,第二季,518.993549806794,31
空心菜,第一季,3650.266598279965,32
空心菜,第二季,3319.065654594406,32
黄心菜,第一季,1787.5985352189205,33
黄心菜,第二季,1619.5796130837348,33
芹菜,第二季,1772.5754339380276,34
大白菜,第二季,146945.78125239682,35
白萝卜,第二季,98858.4156231502,36
红萝卜,第二季,37162.34533488379,37
榆黄菇,第二季,9335.320180200999,38
香菇,第二季,7137.162591639808,39
白灵菇,第二季,17664.82331206144,40
羊肚菌,第二季,4076.539938975411,41
