作物名称,种植季次,产量,作物编号
黄豆,单季,53924.812010198555,1
黑豆,单季,24264.040856593812,2
红豆,单季,23736.51067748048,3
绿豆,单季,30973.47147602497,4
爬豆,单季,9730.616796633922,5
小麦,单季,286712.2315204792,6
玉米,单季,214431.0296732511,7
谷子,单季,68958.7821291407,8
高粱,单季,30509.11459510046,9
黍子,单季,13348.316609362553,10
荞麦,单季,1398.0165115011798,11
南瓜,单季,38115.159479925336,12
红薯,单季,34836.61646938771,13
莜麦,单季,13274.020763368599,14
大麦,单季,10770.760025837328,15
水稻,单季,20557.38856190745,16
豇豆,第一季,36688.40776229284,17
豇豆,第二季,981.1552892093373,17
刀豆,第一季,27195.57575674812,18
刀豆,第二季,672.9109038644114,18
芸豆,第一季,6413.76114540959,19
芸豆,第二季,920.0708669023148,19
土豆,第一季,30502.668240470077,20
土豆,第二季,661.7137300543134,20
西红柿,第一季,34354.5503389746,21
西红柿,第二季,793.2804960965439,21
茄子,第一季,45024.145516269884,22
茄子,第二季,2208.3103924368406,22
菠菜 ,第二季,931.6361585414046,23
青椒,第一季,1771.2461916204677,24
青椒,第二季,812.0254864351174,24
菜花,第一季,3653.098208067671,25
菜花,第二季,1081.3324673947363,25
包菜,第一季,3986.8074882687274,26
包菜,第二季,1262.5611493982924,26
油麦菜,第一季,4645.528592612854,27
油麦菜,第二季,1342.9134747640844,27
小青菜,第一季,34222.50653286469,28
小青菜,第二季,1062.0113734738395,28
黄瓜,第一季,9464.464614620567,29
黄瓜,第二季,3884.56442966615,29
生菜 ,第二季,1378.1580246820931,30
辣椒,第一季,1259.6588033161631,31
辣椒,第二季,496.2056607743364,31
空心菜,第一季,3717.450142105487,32
空心菜,第二季,3093.2006918075076,32
黄心菜,第一季,1709.015673280195,33
黄心菜,第二季,1589.6947705859636,33
芹菜,第二季,1743.1180354616833,34
大白菜,第二季,146325.7510901493,35
白萝卜,第二季,106451.88848038692,36
红萝卜,第二季,38646.8770119239,37
榆黄菇,第二季,8967.97255452352,38
香菇,第二季,7168.270134290462,39
白灵菇,第二季,16722.90909991975,40
羊肚菌,第二季,3943.844297922252,41
