作物名称,种植季次,产量,作物编号
黄豆,单季,56202.75512302705,1
黑豆,单季,22013.880064527642,2
红豆,单季,23251.60205710498,3
绿豆,单季,33249.21233049473,4
爬豆,单季,10112.055879331523,5
小麦,单季,184089.48342141174,6
玉米,单季,142719.23845983564,7
谷子,单季,70496.08386528972,8
高粱,单季,30337.763028085177,9
黍子,单季,12787.345442492615,10
荞麦,单季,1474.7936749473388,11
南瓜,单季,34740.86182897297,12
红薯,单季,35160.672859817925,13
莜麦,单季,13671.433407130955,14
大麦,单季,10083.388284105598,15
水稻,单季,20833.68174838081,16
豇豆,第一季,37554.82352121285,17
豇豆,第二季,973.1778442307982,17
刀豆,第一季,27316.409010780044,18
刀豆,第二季,644.4662086260059,18
芸豆,第一季,6413.496426270969,19
芸豆,第二季,966.6611681786505,19
土豆,第一季,29974.260083926107,20
土豆,第二季,666.627382742165,20
西红柿,第一季,34683.666196058046,21
西红柿,第二季,827.2190648430482,21
茄子,第一季,44632.69605976216,22
茄子,第二季,2147.495883787575,22
菠菜 ,第二季,900.6917628716817,23
青椒,第一季,1764.4402135431205,24
青椒,第二季,813.1438547667804,24
菜花,第一季,3609.7719915482407,25
菜花,第二季,1054.9677976949006,25
包菜,第一季,4061.38193358749,26
包菜,第二季,1217.237005021003,26
油麦菜,第一季,4653.911134006965,27
油麦菜,第二季,1358.9239262452118,27
小青菜,第一季,34650.240979260394,28
小青菜,第二季,1072.6170593443653,28
黄瓜,第一季,8840.53562815528,29
黄瓜,第二季,4023.714832579634,29
生菜 ,第二季,1363.8330975127476,30
辣椒,第一季,1197.9613825377091,31
辣椒,第二季,526.8463749345693,31
空心菜,第一季,3595.866614474479,32
空心菜,第二季,3263.486872399596,32
黄心菜,第一季,1772.9418726171057,33
黄心菜,第二季,1644.537408810583,33
芹菜,第二季,1810.6774916809848,34
大白菜,第二季,147824.4426305092,35
白萝卜,第二季,100848.33701680652,36
红萝卜,第二季,36272.2491201286,37
榆黄菇,第二季,9045.92170775403,38
香菇,第二季,7248.106188691944,39
白灵菇,第二季,17672.16329142756,40
羊肚菌,第二季,4143.6691413423805,41
