作物名称,种植季次,产量,作物编号
黄豆,单季,54267.127727011255,1
黑豆,单季,22608.545333818704,2
红豆,单季,23232.854431267628,3
绿豆,单季,32378.06119759358,4
爬豆,单季,10123.838239363442,5
小麦,单季,215522.97751032002,6
玉米,单季,163271.5215550424,7
谷子,单季,68821.79866891963,8
高粱,单季,31154.699901815762,9
黍子,单季,12986.469718370543,10
荞麦,单季,1488.2582313097587,11
南瓜,单季,35615.197795009975,12
红薯,单季,34414.88082042116,13
莜麦,单季,14060.10326540399,14
大麦,单季,10262.616159076279,15
水稻,单季,20194.849073025223,16
豇豆,第一季,38334.20602195386,17
豇豆,第二季,977.0774479761744,17
刀豆,第一季,26914.59159352417,18
刀豆,第二季,661.7775536416393,18
芸豆,第一季,6563.433530230846,19
芸豆,第二季,946.2612611550672,19
土豆,第一季,29349.587234307717,20
土豆,第二季,677.1081305045636,20
西红柿,第一季,34420.21730010366,21
西红柿,第二季,794.3231590790417,21
茄子,第一季,45290.635613238745,22
茄子,第二季,2228.755901169284,22
菠菜 ,第二季,903.038395320373,23
青椒,第一季,1718.9477701157425,24
青椒,第二季,818.7942455320743,24
菜花,第一季,3729.9017455844387,25
菜花,第二季,1038.9402298040034,25
包菜,第一季,3987.565046970974,26
包菜,第二季,1239.640842155657,26
油麦菜,第一季,4555.746957340228,27
油麦菜,第二季,1358.3994283838495,27
小青菜,第一季,33480.760607567325,28
小青菜,第二季,1075.9758330902932,28
黄瓜,第一季,9103.630899575375,29
黄瓜,第二季,3913.5227652095436,29
生菜 ,第二季,1385.3450735903464,30
辣椒,第一季,1208.8087366486184,31
辣椒,第二季,520.7025700431001,31
空心菜,第一季,3582.5971336723687,32
空心菜,第二季,3235.771835165622,32
黄心菜,第一季,1741.2484297567212,33
黄心菜,第二季,1590.4320395942298,33
芹菜,第二季,1801.8995934848688,34
大白菜,第二季,143050.6856507307,35
白萝卜,第二季,99544.60598483298,36
红萝卜,第二季,37958.16030081409,37
榆黄菇,第二季,9254.527709365742,38
香菇,第二季,7139.070790310387,39
白灵菇,第二季,17241.95286450658,40
羊肚菌,第二季,4149.359182479263,41
