Unnamed: 0,序号,作物编号,作物名称,地块类型,种植季次,亩产量/斤,种植成本/(元/亩),销售单价/(元/斤),确切销售单价/(元/斤),亩利润/(元/亩)
0,1,1,黄豆,平旱地,单季,375.2247106746215,463.05,2.50-4.00,3.25,900.0
1,2,2,黑豆,平旱地,单季,488.33542253737784,463.05,6.50-8.50,7.5,3350.0
2,3,3,红豆,平旱地,单季,382.6191542908738,405.1687500000001,7.50-9.00,8.25,2950.0
3,4,4,绿豆,平旱地,单季,330.9937793137533,405.1687500000001,6.00-8.00,7.0,2100.0
4,5,5,爬豆,平旱地,单季,435.5906654487014,405.1687500000001,6.00-7.50,6.75,2451.25
5,6,6,小麦,平旱地,单季,855.9546525319968,520.93125,3.00-4.00,3.5,2350.0
6,7,7,玉米,平旱地,单季,1012.8685895040808,578.8125,2.50-3.50,3.0,2500.0
7,8,8,谷子,平旱地,单季,363.8230665416165,416.745,6.00-7.50,6.75,2340.0
8,9,9,高粱,平旱地,单季,646.752850255288,463.05,5.50-6.50,6.0,3380.0
9,10,10,黍子,平旱地,单季,526.9466244143061,416.745,6.50-8.50,7.5,3577.5
10,11,11,荞麦,平旱地,单季,113.22334745220829,405.1687500000001,30.00-50.00,40.0,4050.0
11,12,12,南瓜,平旱地,单季,3017.10859023279,1157.625,1.00-2.00,1.5,3500.0
12,13,13,红薯,平旱地,单季,1954.6737565562332,2315.25,2.50-4.00,3.25,5150.0
13,14,14,莜麦,平旱地,单季,426.95496509297953,463.05,5.00-6.00,5.5,1910.0
14,15,15,大麦,平旱地,单季,502.3828737742709,405.1687500000001,3.00-4.00,3.5,1487.5
15,16,1,黄豆,梯田,单季,391.0241804079645,463.05,2.50-4.00,3.25,835.0
16,17,2,黑豆,梯田,单季,502.10369428387787,463.05,6.50-8.50,7.5,3162.5
17,18,3,红豆,梯田,单季,412.2525211924927,405.1687500000001,7.50-9.00,8.25,2785.0
18,19,4,绿豆,梯田,单季,367.06255915951147,405.1687500000001,6.00-8.00,7.0,1960.0
19,20,5,爬豆,梯田,单季,371.92690999590263,405.1687500000001,6.00-7.50,6.75,2316.25
20,21,6,小麦,梯田,单季,731.3415948562308,520.93125,3.00-4.00,3.5,2210.0
21,22,7,玉米,梯田,单季,997.8034133703051,578.8125,2.50-3.50,3.0,2350.0
22,23,8,谷子,梯田,单季,381.2324762899562,416.745,6.00-7.50,6.75,2205.0
23,24,9,高粱,梯田,单季,599.6617083421902,463.05,5.50-6.50,6.0,3200.0
24,25,10,黍子,梯田,单季,482.09379349139124,416.745,6.50-8.50,7.5,3390.0
25,26,11,荞麦,梯田,单季,105.85508373608705,405.1687500000001,30.00-50.00,40.0,3850.0
26,27,12,南瓜,梯田,单季,2764.1367312096727,1157.625,1.00-2.00,1.5,3275.0
27,28,13,红薯,梯田,单季,2051.306698620546,2315.25,2.50-4.00,3.25,4825.0
28,29,14,莜麦,梯田,单季,380.83707221673865,463.05,5.00-6.00,5.5,1800.0
29,30,15,大麦,梯田,单季,444.2338040318323,405.1687500000001,3.00-4.00,3.5,1400.0
30,31,1,黄豆,山坡地,单季,360.66737253468386,463.05,2.50-4.00,3.25,770.0
31,32,2,黑豆,山坡地,单季,431.43879259281465,463.05,6.50-8.50,7.5,2975.0
32,33,3,红豆,山坡地,单季,351.89914405010927,405.1687500000001,7.50-9.00,8.25,2620.0
33,34,4,绿豆,山坡地,单季,321.74421445562064,405.1687500000001,6.00-8.00,7.0,1855.0
34,35,5,爬豆,山坡地,单季,358.0870171474208,405.1687500000001,6.00-7.50,6.75,2181.25
35,36,6,小麦,山坡地,单季,748.6690892927933,520.93125,3.00-4.00,3.5,2070.0
36,37,7,玉米,山坡地,单季,849.4154202322168,578.8125,2.50-3.50,3.0,2200.0
37,38,8,谷子,山坡地,单季,376.27035282555016,416.745,6.00-7.50,6.75,2070.0
38,39,9,高粱,山坡地,单季,522.3671642563978,463.05,5.50-6.50,6.0,3020.0
39,40,10,黍子,山坡地,单季,475.0568885736333,416.745,6.50-8.50,7.5,3202.5
