作物名称,种植季次,产量,作物编号
黄豆,单季,46966.63320891562,1
黑豆,单季,20087.813309552766,2
红豆,单季,18978.762656729912,3
绿豆,单季,30816.457142407253,4
爬豆,单季,8853.033948149794,5
小麦,单季,188191.85991329895,6
玉米,单季,147650.6909578946,7
谷子,单季,59246.55518323349,8
高粱,单季,26181.119129144427,9
黍子,单季,11066.065654598644,10
荞麦,单季,1244.5699899405677,11
南瓜,单季,29257.557999126897,12
红薯,单季,32610.114042119847,13
莜麦,单季,12196.79611993991,14
大麦,单季,9342.954052594305,15
水稻,单季,18732.606458699698,16
豇豆,第一季,27422.74479197542,17
豇豆,第二季,749.1825221401637,17
刀豆,第一季,20603.718394441323,18
刀豆,第二季,513.6184299304033,18
芸豆,第一季,4999.094557335617,19
芸豆,第二季,729.3010979705921,19
土豆,第一季,25499.20099530192,20
土豆,第二季,521.194774117852,20
西红柿,第一季,27343.393103698687,21
西红柿,第二季,638.736182844367,21
茄子,第一季,33743.52142918839,22
茄子,第二季,1643.3429987338209,22
菠菜 ,第二季,680.118448578314,23
青椒,第一季,1344.5227783887417,24
青椒,第二季,622.1721424672772,24
菜花,第一季,2930.210553461818,25
菜花,第二季,820.7137386510558,25
包菜,第一季,3241.624805134888,26
包菜,第二季,926.8333803557424,26
油麦菜,第一季,3447.815332003296,27
油麦菜,第二季,1032.2799986688074,27
小青菜,第一季,26137.48189147025,28
小青菜,第二季,803.034038001068,28
黄瓜,第一季,6656.0769070218785,29
黄瓜,第二季,3212.448783751554,29
生菜 ,第二季,1066.2541003909755,30
辣椒,第一季,935.1277213369541,31
辣椒,第二季,428.7788997996991,31
空心菜,第一季,2909.857591263833,32
空心菜,第二季,2618.4657095342304,32
黄心菜,第一季,1401.47563166437,33
黄心菜,第二季,1265.001908329862,33
芹菜,第二季,1336.6558030074664,34
大白菜,第二季,123553.8277883252,35
白萝卜,第二季,73655.16170666425,36
红萝卜,第二季,28156.030887099438,37
榆黄菇,第二季,8343.041614696249,38
香菇,第二季,6462.092718831746,39
白灵菇,第二季,17602.05264374524,40
羊肚菌,第二季,4145.93792021649,41
