Unnamed: 0,序号,作物编号,作物名称,地块类型,种植季次,亩产量/斤,种植成本/(元/亩),销售单价/(元/斤),确切销售单价/(元/斤),亩利润/(元/亩)
0,1,1,黄豆,平旱地,单季,380.1418817736312,486.2025,2.50-4.00,3.25,900.0
1,2,2,黑豆,平旱地,单季,494.9854455755024,486.2025,6.50-8.50,7.5,3350.0
2,3,3,红豆,平旱地,单季,391.6322952460503,425.4271875000002,7.50-9.00,8.25,2950.0
3,4,4,绿豆,平旱地,单季,325.456250689766,425.4271875000002,6.00-8.00,7.0,2100.0
4,5,5,爬豆,平旱地,单季,426.037637467174,425.4271875000002,6.00-7.50,6.75,2451.25
5,6,6,小麦,平旱地,单季,882.2244088870269,546.9778125,3.00-4.00,3.5,2350.0
6,7,7,玉米,平旱地,单季,1016.7015614391788,607.7531250000002,2.50-3.50,3.0,2500.0
7,8,8,谷子,平旱地,单季,366.97664686789597,437.58225,6.00-7.50,6.75,2340.0
8,9,9,高粱,平旱地,单季,636.0455193837414,486.2025,5.50-6.50,6.0,3380.0
9,10,10,黍子,平旱地,单季,537.7624225898252,437.58225,6.50-8.50,7.5,3577.5
10,11,11,荞麦,平旱地,单季,111.97535569815938,425.4271875000002,30.00-50.00,40.0,4050.0
11,12,12,南瓜,平旱地,单季,2978.995855658858,1215.50625,1.00-2.00,1.5,3500.0
12,13,13,红薯,平旱地,单季,2025.9128229932955,2431.0125000000007,2.50-4.00,3.25,5150.0
13,14,14,莜麦,平旱地,单季,415.2632611440928,486.2025,5.00-6.00,5.5,1910.0
14,15,15,大麦,平旱地,单季,501.57101829495485,425.4271875000002,3.00-4.00,3.5,1487.5
15,16,1,黄豆,梯田,单季,391.7943164566397,486.2025,2.50-4.00,3.25,835.0
16,17,2,黑豆,梯田,单季,509.77489886393613,486.2025,6.50-8.50,7.5,3162.5
17,18,3,红豆,梯田,单季,384.49303698900746,425.4271875000002,7.50-9.00,8.25,2785.0
18,19,4,绿豆,梯田,单季,363.5714738243003,425.4271875000002,6.00-8.00,7.0,1960.0
19,20,5,爬豆,梯田,单季,363.3628464882012,425.4271875000002,6.00-7.50,6.75,2316.25
20,21,6,小麦,梯田,单季,715.9394828666144,546.9778125,3.00-4.00,3.5,2210.0
21,22,7,玉米,梯田,单季,899.8772803516783,607.7531250000002,2.50-3.50,3.0,2350.0
22,23,8,谷子,梯田,单季,357.0284234622785,437.58225,6.00-7.50,6.75,2205.0
23,24,9,高粱,梯田,单季,585.6759154934663,486.2025,5.50-6.50,6.0,3200.0
24,25,10,黍子,梯田,单季,508.86008377168173,437.58225,6.50-8.50,7.5,3390.0
25,26,11,荞麦,梯田,单季,103.79589678632357,425.4271875000002,30.00-50.00,40.0,3850.0
26,27,12,南瓜,梯田,单季,2696.2830151951653,1215.50625,1.00-2.00,1.5,3275.0
