作物名称,种植季次,产量,作物编号
黄豆,单季,57000.0,1
黑豆,单季,21850.0,2
红豆,单季,22400.0,3
绿豆,单季,33040.0,4
爬豆,单季,9875.0,5
小麦,单季,170840.0,6
玉米,单季,132750.0,7
谷子,单季,71400.0,8
高粱,单季,30000.0,9
黍子,单季,12500.0,10
荞麦,单季,1500.0,11
南瓜,单季,35100.0,12
红薯,单季,36000.0,13
莜麦,单季,14000.0,14
大麦,单季,10000.0,15
水稻,单季,21000.0,16
豇豆,第一季,36480.0,17
豇豆,第二季,960.0,17
刀豆,第一季,26880.0,18
刀豆,第二季,660.0,18
芸豆,第一季,6480.0,19
芸豆,第二季,960.0,19
土豆,第一季,30000.0,20
土豆,第二季,660.0,20
西红柿,第一季,35400.0,21
西红柿,第二季,810.0,21
茄子,第一季,43200.0,22
茄子,第二季,2160.0,22
菠菜 ,第二季,900.0,23
青椒,第一季,1800.0,24
青椒,第二季,810.0,24
菜花,第一季,3600.0,25
菜花,第二季,1080.0,25
包菜,第一季,4050.0,26
包菜,第二季,1230.0,26
油麦菜,第一季,4500.0,27
油麦菜,第二季,1350.0,27
小青菜,第一季,34400.0,28
小青菜,第二季,1080.0,28
黄瓜,第一季,9000.0,29
黄瓜,第二季,4050.0,29
生菜 ,第二季,1350.0,30
辣椒,第一季,1200.0,31
辣椒,第二季,540.0,31
空心菜,第一季,3600.0,32
空心菜,第二季,3300.0,32
黄心菜,第一季,1800.0,33
黄心菜,第二季,1620.0,33
芹菜,第二季,1800.0,34
大白菜,第二季,150000.0,35
白萝卜,第二季,100000.0,36
红萝卜,第二季,36000.0,37
榆黄菇,第二季,9000.0,38
香菇,第二季,7200.0,39
白灵菇,第二季,18000.0,40
羊肚菌,第二季,4200.0,41
